Data extracted on 10/06/2022 15:15:39 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2895427];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;No children;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Less than primary, primary and lower secondary education (levels 0-2);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);34,2;;33,2;;33,2;b;33,4;;34,2;;35,1;;35,5;;36,4;;35,6;;35,5;b
European Union - 28 countries (2013-2020);35,8;;35,1;;35,2;b;35,4;;36,5;;37,4;;38,0;;38,7;;:;;:;
European Union - 15 countries (1995-2004);37,0;;36,1;;36,1;b;36,4;;37,7;;38,5;;39,1;;39,7;;:;;:;
Euro area - 19 countries  (from 2015);34,8;;33,6;;33,5;b;33,7;;34,7;;35,5;;36,0;;36,7;;35,8;;36,0;b
Belgium;30,4;;29,1;;29,0;b;27,7;;27,4;;29,4;b;26,7;;29,7;;27,4;;27,1;b
Bulgaria;20,8;;20,5;;23,4;b;23,9;;21,3;;26,2;;28,5;;30,1;;31,3;;29,1;b
Czechia;23,4;;25,4;;24,9;b;26,0;;31,1;;29,5;;32,2;;34,7;;30,4;;29,5;b
Denmark;46,8;;48,0;;48,7;b;49,5;;52,1;b;50,1;b;49,1;;51,3;;54,1;;49,1;b
Germany (until 1990 former territory of the FRG);45,8;b;45,9;;46,7;b;46,8;;47,6;;49,2;;50,4;;52,0;;50,4;b;50,8;b
Estonia;35,9;;41,5;;40,4;b;40,3;;43,8;;47,1;;47,0;;44,3;;41,9;;38,2;b
Ireland;32,5;;34,3;;34,8;b;35,9;;35,9;;35,7;b;36,2;;36,9;;35,0;;36,6;b
Greece;30,9;;28,0;;27,9;b;28,5;;27,1;;27,5;;28,4;;27,6;;26,7;;26,1;b
Spain;31,9;;31,0;;31,6;b;32,0;;33,6;;34,9;;35,8;;36,3;;35,7;;36,2;bd
France;30,2;;28,9;b;27,5;b;26,1;;28,4;;28,0;;27,4;;28,8;;26,9;;25,7;bd
Croatia;25,0;;23,9;;23,0;b;22,5;;22,6;;20,6;;21,6;;22,5;;22,9;;24,0;b
Italy;33,3;;31,8;;31,7;b;32,2;;33,0;;33,4;;34,0;;34,3;;33,6;;33,2;b
Cyprus;38,6;;34,7;;37,0;b;33,2;;35,3;;34,6;;38,8;;40,7;;42,3;;40,3;b
Latvia;34,2;;34,5;;37,0;b;39,4;;36,2;;35,1;;43,3;;40,4;;47,0;;31,6;b
Lithuania;13,3;;13,6;;14,8;b;16,4;;17,8;;17,8;;19,5;;23,1;;22,1;;27,9;b
Luxembourg;40,0;;38,2;;35,9;b;43,0;b;41,9;;40,0;;44,1;;41,2;;42,1;;44,1;b
Hungary;25,1;;26,1;;23,6;b;26,0;;29,5;;31,6;;32,3;;33,1;;34,0;;34,7;b
Malta;45,1;;44,5;;46,3;b;46,8;;46,1;;48,3;;48,5;;47,2;;45,9;;45,7;b
Netherlands;47,1;;45,9;b;43,4;b;45,6;;43,5;;43,7;;43,7;;45,0;b;42,2;;48,6;b
Austria;36,1;;35,9;;35,6;b;36,1;;37,1;;36,7;;38,1;;38,2;;38,0;;39,9;b
Poland;22,8;;22,3;;22,1;b;22,6;;21,9;;22,4;;22,6;;24,2;;25,2;;24,5;b
Portugal;46,6;;44,3;;43,5;b;43,6;;43,5;;46,2;;46,0;;45,3;;44,0;;40,7;b
Romania;37,9;;38,6;;40,9;b;37,1;;35,6;;36,5;;36,4;;37,8;;37,0;;29,7;b
Slovenia;36,4;;35,6;;33,8;b;32,9;;30,7;;35,1;;36,2;;31,3;;27,4;;29,9;b
Slovakia;14,2;;15,5;;16,9;b;19,1;;20,6;;20,8;;23,6;;24,5;;21,9;;14,8;b
Finland;30,1;;28,6;;27,9;b;28,3;;26,4;;28,8;;28,9;;27,4;;26,4;;37,7;b
Sweden;43,4;;43,7;;45,9;b;49,1;;47,9;;48,2;;48,9;b;51,6;;50,0;;38,9;b
United Kingdom;55,0;;55,9;;57,7;b;58,9;;60,6;;61,8;;62,7;;62,5;;:;;:;
Montenegro;17,2;;17,2;;20,1;b;20,9;;26,9;;34,0;;32,6;;31,6;;24,7;;:;
North Macedonia;33,3;;36,0;;40,0;b;38,8;;37,4;;37,7;;40,2;;41,8;;39,5;;:;
Serbia;30,4;;31,8;;35,8;b;35,6;;39,2;;40,5;;40,0;;40,6;;41,4;;36,2;b
Turkey;50,9;;50,9;;51,0;b;50,8;;52,1;;52,5;;52,8;;50,2;;45,9;;:;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;