Data extracted on 10/06/2022 14:31:10 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;No children;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Tertiary education (levels 5-8);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);65,5;;64,8;;64,6;b;64,9;;65,3;;65,7;;66,4;;66,5;;65,5;;65,5;b
European Union - 28 countries (2013-2020);67,5;;66,9;;66,8;b;67,1;;67,5;;67,8;;68,3;;68,5;;:;;:;
European Union - 15 countries (1995-2004);67,3;;66,6;;66,5;b;66,8;;67,2;;67,3;;67,9;;68,0;;:;;:;
Euro area - 19 countries  (from 2015);64,8;;63,9;;63,7;b;63,8;;64,3;;64,5;;65,4;;65,4;;64,5;;64,9;b
Belgium;62,5;;62,8;;62,0;b;61,6;;61,2;;61,8;b;63,2;;62,8;;64,9;;63,5;b
Bulgaria;62,3;;63,0;;63,1;b;66,6;;67,1;;66,4;;68,3;;72,8;;68,0;;72,3;b
Czechia;69,3;;69,4;;69,9;b;71,3;;70,0;;73,0;;72,9;;72,1;;72,5;;71,9;b
Denmark;70,3;;68,0;;70,2;b;72,6;;72,1;b;71,8;b;71,9;;74,1;;70,3;;66,8;b
Germany (until 1990 former territory of the FRG);63,9;b;63,7;;63,3;b;63,1;;64,1;;64,3;;64,5;;65,4;;63,3;b;63,3;b
Estonia;71,7;;73,6;;76,4;b;76,6;;77,0;;79,5;;78,4;;80,6;;76,5;;71,2;b
Ireland;70,2;;71,4;;69,7;b;70,7;;71,9;;73,5;b;74,5;;75,2;;74,7;;74,4;b
Greece;59,1;;56,5;;52,8;b;54,3;;56,9;;57,8;;60,4;;61,7;;59,2;;57,1;b
Spain;63,6;;62,7;;61,7;b;63,9;;64,0;;63,7;;65,2;;65,9;;63,8;;63,9;bd
France;66,8;;64,3;b;64,8;b;63,6;;63,0;;63,6;;64,5;;62,4;;63,2;;64,9;bd
Croatia;54,9;;55,3;;55,0;b;53,5;;53,4;;55,0;;56,1;;55,7;;56,0;;55,5;b
Italy;65,4;;63,6;;63,4;b;64,9;;65,0;;64,8;;64,8;;64,5;;64,6;;65,8;b
Cyprus;70,7;;67,0;;67,0;b;66,5;;64,9;;66,0;;69,9;;74,2;;69,4;;72,0;b
Latvia;75,4;;76,2;;73,1;b;73,8;;74,0;;80,0;;77,5;;79,9;;77,7;;68,8;b
Lithuania;72,3;;74,4;;75,1;b;76,0;;76,7;;75,5;;77,6;;77,6;;74,9;;73,6;b
Luxembourg;72,2;;71,2;;70,8;b;69,6;b;70,9;;72,5;;67,8;;69,7;;67,1;;70,8;b
Hungary;67,9;;67,7;;64,5;b;66,7;;67,0;;68,0;;67,9;;68,3;;66,5;;69,1;b
Malta;75,6;;76,6;;76,6;b;76,8;;77,3;;78,3;;80,5;;82,9;;81,8;;86,4;b
Netherlands;66,9;;67,4;b;69,3;b;67,5;;68,9;;68,3;;69,1;;69,0;b;69,7;;71,1;b
Austria;65,4;;65,5;;65,5;b;66,2;;65,8;;66,8;;67,4;;67,6;;67,1;;65,5;b
Poland;70,2;;70,3;;70,3;b;70,6;;71,7;;72,3;;72,7;;72,3;;70,9;;68,1;b
Portugal;64,3;;63,0;;65,9;b;64,9;;68,0;;69,2;;72,0;;73,0;;68,1;;70,8;b
Romania;69,1;;69,7;;68,8;b;71,1;;72,4;;73,3;;73,3;;73,2;;72,0;;71,8;b
Slovenia;61,7;;60,9;;61,8;b;62,2;;59,2;;61,7;;65,9;;67,2;;66,3;;66,1;b
Slovakia;65,8;;66,3;;67,0;b;65,9;;64,4;;65,3;;67,3;;68,5;;68,5;;65,4;b
Finland;63,5;;61,9;;61,6;b;58,1;;60,1;;59,7;;61,5;;61,2;;61,6;;63,9;b
Sweden;72,0;;71,4;;70,9;b;73,9;;72,3;;73,6;;75,1;b;72,9;;74,1;;66,2;b
United Kingdom;78,4;;78,9;;79,3;b;79,7;;79,9;;80,0;;79,5;;80,3;;:;;:;
Montenegro;57,8;;59,1;;59,6;b;62,3;;61,1;;60,3;;62,1;;61,5;;61,3;;:;
North Macedonia;54,7;;53,6;;55,1;b;57,0;;58,3;;58,8;;59,1;;59,9;;61,2;;:;
Serbia;41,3;;40,4;;49,0;b;49,7;;51,0;;53,6;;56,4;;55,8;;55,6;;57,6;b
Turkey;69,6;;70,5;;70,2;b;71,7;;71,1;;71,2;;70,1;;68,9;;65,7;;:;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;