Data extracted on 10/06/2022 14:31:09 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;No children;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);56,3;;55,9;;55,7;b;56,1;;56,6;;57,3;;57,7;;57,6;;56,0;;55,7;b
European Union - 28 countries (2013-2020);57,5;;57,2;;57,1;b;57,5;;57,9;;58,7;;59,1;;59,0;;:;;:;
European Union - 15 countries (1995-2004);58,2;;57,9;;57,4;b;57,8;;58,1;;58,7;;59,0;;58,9;;:;;:;
Euro area - 19 countries  (from 2015);56,3;;55,8;;55,1;b;55,6;;56,0;;56,5;;56,8;;56,7;;54,8;;55,5;b
Belgium;55,6;;54,4;;52,6;b;52,9;;52,9;;52,8;b;54,7;;54,1;;52,1;;50,6;b
Bulgaria;54,8;;53,8;;54,0;b;55,9;;55,6;;59,9;;59,0;;60,8;;59,7;;57,8;b
Czechia;59,1;;58,5;;59,4;b;59,8;;60,8;;60,8;;61,8;;61,1;;60,0;;60,5;b
Denmark;59,4;;62,2;;61,2;b;62,0;;65,4;b;62,9;b;63,5;;65,7;;64,2;;58,0;b
Germany (until 1990 former territory of the FRG);57,6;b;57,7;;58,1;b;58,1;;59,6;;59,8;;60,1;;60,6;;58,4;b;58,6;b
Estonia;62,9;;63,0;;67,5;b;69,7;;66,9;;69,3;;70,9;;72,2;;69,0;;62,8;b
Ireland;55,7;;56,1;;57,1;b;58,9;;59,5;;60,8;b;63,6;;64,2;;60,8;;59,8;b
Greece;45,2;;42,6;;43,7;b;45,6;;46,2;;47,2;;49,5;;49,1;;49,3;;49,6;b
Spain;52,3;;50,7;;50,0;b;53,3;;54,2;;53,9;;54,1;;55,8;;51,6;;53,7;bd
France;52,2;;52,7;b;48,8;b;49,3;;47,3;;48,7;;48,2;;46,2;;44,8;;46,7;bd
Croatia;45,8;;42,8;;45,5;b;46,8;;46,6;;50,1;;51,0;;51,5;;49,7;;50,2;b
Italy;58,2;;56,3;;56,6;b;57,0;;57,6;;57,4;;57,3;;57,7;;56,2;;56,6;b
Cyprus;58,1;;57,2;;54,6;b;53,7;;53,3;;57,4;;59,1;;59,7;;59,0;;60,1;b
Latvia;56,6;;58,2;;59,4;b;60,1;;60,6;;61,1;;64,5;;63,4;;64,0;;59,6;b
Lithuania;53,8;;54,1;;54,2;b;56,1;;58,0;;58,0;;59,6;;57,2;;57,2;;56,6;b
Luxembourg;51,5;;52,0;;51,1;b;51,9;b;50,4;;49,5;;52,6;;51,1;;49,7;;49,6;b
Hungary;56,0;;58,0;;59,4;b;59,9;;61,9;;63,4;;63,8;;64,5;;63,2;;62,9;b
Malta;66,2;;67,6;;68,9;b;67,9;;70,1;;71,1;;71,4;;73,6;;73,8;;72,8;b
Netherlands;62,8;;60,3;b;59,7;b;59,2;;60,1;;61,7;;62,2;;62,6;b;61,2;;64,3;b
Austria;59,5;;59,4;;56,6;b;56,4;;56,6;;56,5;;58,2;;58,0;;55,5;;55,5;b
Poland;53,4;;53,2;;54,1;b;54,3;;55,1;;56,0;;56,2;;56,2;;56,1;;52,3;b
Portugal;55,1;;55,7;;58,3;b;58,7;;60,0;;62,8;;64,8;;65,7;;62,3;;61,4;b
Romania;58,0;;57,6;;58,8;b;58,7;;58,4;;60,2;;61,5;;61,0;;59,7;;55,6;b
Slovenia;51,8;;50,4;;50,3;b;51,0;;49,4;;51,6;;52,8;;53,1;;51,8;;52,0;b
Slovakia;59,0;;58,0;;58,4;b;59,3;;60,7;;60,2;;61,0;;61,0;;59,4;;59,8;b
Finland;60,4;;58,8;;58,1;b;57,6;;57,5;;57,1;;59,1;;58,8;;55,4;;60,1;b
Sweden;66,5;;66,4;;66,7;b;67,6;;67,5;;67,3;;68,7;b;67,3;;67,7;;59,2;b
United Kingdom;68,9;;69,6;;70,6;b;70,9;;71,1;;72,3;;73,0;;73,1;;:;;:;
Montenegro;41,7;;42,0;;46,9;b;44,7;;45,5;;48,2;;51,0;;53,9;;47,8;;:;
North Macedonia;45,8;;47,2;;47,2;b;49,0;;50,3;;52,0;;51,5;;54,7;;54,9;;:;
Serbia;40,3;;42,9;;45,1;b;45,8;;48,5;;50,1;;51,8;;53,1;;53,2;;53,8;b
Turkey;55,5;;56,7;;57,9;b;58,5;;58,3;;58,1;;59,1;;55,8;;52,1;;:;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;