Data extracted on 10/06/2022 14:31:25 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;3 children or more;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Less than primary, primary and lower secondary education (levels 0-2);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);60,4;;59,5;;61,2;b;61,1;;61,6;;62,9;;63,2;;65,6;;62,4;;64,7;b
European Union - 28 countries (2013-2020);61,5;;60,7;;62,5;b;62,4;;64,5;;65,1;;66,3;;67,9;;:;;:;
European Union - 15 countries (1995-2004);65,0;;63,5;;65,0;b;64,1;;66,4;;66,9;;68,1;;69,7;;:;;:;
Euro area - 19 countries  (from 2015);63,5;;61,9;;63,4;b;62,0;;62,7;;63,9;;64,0;;66,1;;62,6;;66,7;b
Belgium;58,9;;55,9;;55,0;b;52,7;;56,1;;65,5;b;65,1;;58,5;;44,1;;55,1;b
Bulgaria;31,4;u;26,4;u;39,5;b;28,9;u;35,9;;43,8;;47,1;;60,5;;46,6;;56,9;bu
Czechia;26,0;u;38,3;u;52,5;b;29,8;u;37,4;u;67,2;;49,1;;45,6;;61,1;;64,4;b
Denmark;81,4;u;75,9;;77,0;b;86,2;u;75,7;bu;69,6;b;72,8;;81,9;;69,5;u;63,1;b
Germany (until 1990 former territory of the FRG);66,9;b;69,0;;62,8;b;64,4;;60,4;;59,0;;59,6;;64,1;;59,9;b;66,9;b
Estonia;55,0;u;61,8;u;72,4;b;64,8;;75,6;;70,3;;76,9;;76,2;;84,7;;65,5;b
Ireland;49,7;;54,0;;57,4;b;59,7;;62,5;;61,0;b;62,9;;61,1;;64,7;;80,7;b
Greece;67,0;;64,7;;70,8;b;65,4;;71,5;;74,2;;79,0;;76,0;;73,4;;79,2;b
Spain;44,9;;45,9;;55,6;b;58,0;;58,1;;60,5;;63,3;;61,3;;59,7;;61,4;bd
France;69,0;;65,0;b;66,8;b;61,3;;61,5;;63,3;;60,4;;68,5;;60,7;;62,7;bd
Croatia;41,2;;44,3;u;36,7;bu;48,8;u;54,3;u;43,5;u;42,0;u;43,5;u;52,2;u;56,1;bu
Italy;72,2;;69,9;;66,9;b;68,5;;68,9;;69,8;;71,2;;71,2;;70,7;;74,0;b
Cyprus;75,7;;69,9;;73,9;b;70,5;;68,5;u;71,9;;81,4;;75,4;;65,2;;84,8;b
Latvia;57,6;;56,8;;68,3;b;63,1;;61,9;;61,6;;:;u;67,5;;71,0;;78,6;b
Lithuania;:;u;44,4;u;46,4;bu;50,3;u;50,5;u;61,6;;48,9;u;38,1;u;43,8;u;68,9;bu
Luxembourg;76,4;;80,4;;71,5;b;57,9;b;61,2;;70,9;;62,0;;73,0;;61,8;;73,5;b
Hungary;40,0;;41,2;;49,5;b;57,8;;59,8;;62,6;;64,6;;64,0;;60,6;;63,3;b
Malta;79,2;;80,4;;79,0;b;88,5;;86,6;;90,3;;78,1;;86,5;;78,3;;85,1;b
Netherlands;80,1;;79,2;b;82,4;b;65,8;;78,6;;81,7;;79,6;;80,0;b;76,8;;83,7;b
Austria;67,6;;62,8;;62,0;b;62,5;;71,0;;54,7;;67,1;;61,1;;61,7;;66,4;b
Poland;47,1;;46,3;;51,1;b;52,5;;52,5;;52,3;;52,7;;54,8;;57,4;;50,9;b
Portugal;61,7;;58,8;;67,2;b;70,4;;68,9;;66,5;;69,6;;79,9;;82,5;;64,4;b
Romania;57,6;;61,8;;59,7;b;66,4;;65,6;;65,7;;67,3;;68,6;;69,6;;55,7;b
Slovenia;58,6;u;50,4;u;42,5;bu;41,8;u;55,5;u;60,3;u;59,0;u;69,7;u;85,7;u;81,2;bu
Slovakia;32,9;;32,5;;33,5;b;29,3;;38,6;;42,4;;39,6;;34,4;;36,1;;21,1;b
Finland;57,2;;61,4;;53,2;b;57,9;;53,4;;61,6;;54,2;;66,7;;63,6;;79,2;b
Sweden;78,9;;65,4;;60,9;b;68,2;;64,9;;66,0;;61,8;b;88,2;;55,8;;68,3;b
United Kingdom;67,4;;68,2;;69,4;b;69,8;;78,8;;77,1;;83,2;;81,0;;:;;:;
Montenegro;37,9;u;32,7;u;38,1;bu;41,1;u;59,4;;64,8;;61,6;;55,7;u;:;u;:;
North Macedonia;35,0;;42,5;;41,1;b;42,8;;47,6;;47,0;;51,4;;57,9;;57,3;;:;
Serbia;47,5;;56,1;;55,8;b;53,9;;58,0;;56,1;;56,8;;54,1;;55,8;;58,8;b
Turkey;74,7;;75,3;;72,9;b;73,2;;72,6;;74,2;;73,6;;70,4;;67,2;;:;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;
bu;break in time series, low reliability;;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;
u;low reliability;;;;;;;;;;;;;;;;;;;