Data extracted on 10/06/2022 14:31:28 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;3 children or more;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Tertiary education (levels 5-8);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);94,0;;93,1;;93,3;b;93,5;;94,4;;93,7;;93,8;;95,1;;92,9;;94,0;b
European Union - 28 countries (2013-2020);93,7;;93,3;;93,1;b;93,6;;93,9;;93,7;;93,6;;94,9;;:;;:;
European Union - 15 countries (1995-2004);93,5;;93,2;;93,0;b;93,3;;93,8;;93,4;;93,2;;94,5;;:;;:;
Euro area - 19 countries  (from 2015);93,9;;93,0;;93,0;b;93,1;;94,2;;93,5;;92,9;;94,7;;91,8;;93,6;b
Belgium;94,6;;95,4;;93,5;b;94,2;;93,6;;94,2;b;91,7;;95,0;;96,7;;93,7;b
Bulgaria;:;u;:;u;:;bu;:;u;:;u;:;u;:;u;:;u;94,7;u;:;bu
Czechia;98,8;;97,7;;99,1;b;97,4;;97,9;;97,1;;98,3;;99,4;;97,6;;98,2;b
Denmark;98,4;;97,1;;96,1;b;99,1;;91,7;b;88,8;b;98,2;;96,5;;94,4;;92,4;b
Germany (until 1990 former territory of the FRG);96,4;b;97,0;;96,5;b;96,3;;93,9;;94,5;;94,3;;94,9;;88,5;b;93,9;b
Estonia;97,7;;98,1;;95,8;b;98,2;;95,4;;94,0;;93,1;;90,5;;90,4;;94,9;b
Ireland;88,8;;91,1;;91,4;b;92,7;;93,6;;94,3;b;93,8;;94,7;;93,9;;93,4;b
Greece;89,7;;91,8;;93,6;b;91,9;;91,5;;89,9;;87,6;;93,3;;94,8;;90,9;b
Spain;88,5;;86,5;;89,9;b;85,0;;89,7;;92,7;;93,5;;93,9;;89,2;;95,0;bd
France;93,4;;89,8;b;90,8;b;92,9;;95,2;;92,2;;90,3;;93,7;;91,9;;90,9;bd
Croatia;94,0;u;79,5;u;90,7;bu;87,4;u;91,8;;97,7;;94,8;;98,9;;99,0;;87,3;b
Italy;96,4;;96,9;;95,7;b;95,4;;94,3;;93,2;;95,6;;94,6;;93,8;;96,7;b
Cyprus;97,4;;89,3;;94,6;b;94,8;;92,7;;91,2;;91,9;;94,5;;95,5;;90,9;b
Latvia;90,5;;98,1;;91,2;b;96,0;;94,8;;89,7;;83,0;;100,0;;91,6;;97,6;b
Lithuania;92,9;u;95,4;;96,4;b;96,3;;92,8;;91,6;;90,7;;95,0;;90,7;;95,5;b
Luxembourg;96,6;;91,7;;94,1;b;96,4;b;94,2;;97,0;;92,7;;90,9;;87,6;;94,6;b
Hungary;93,3;;95,7;;95,8;b;97,2;;95,3;;95,8;;98,1;;99,7;;98,3;;96,7;b
Malta;100,0;;96,4;u;95,0;b;96,9;;98,5;;100,0;;100,0;;99,0;;95,5;;80,1;b
Netherlands;97,1;;96,4;b;95,6;b;96,2;;96,8;;95,0;;96,9;;97,0;b;96,4;;96,1;b
Austria;95,0;;91,9;;90,3;b;89,9;;92,9;;93,6;;92,5;;95,5;;92,8;;95,6;b
Poland;93,8;;95,1;;95,1;b;95,8;;95,4;;97,0;;96,9;;96,9;;98,5;;98,2;b
Portugal;96,8;;95,2;;92,8;b;95,9;;99,3;;92,9;;97,0;;95,5;;85,7;;99,0;b
Romania;94,3;u;79,4;u;82,0;bu;95,6;;88,4;;91,2;;93,6;;95,4;;96,0;;93,3;b
Slovenia;95,9;;96,4;;99,2;b;95,1;;96,5;;96,4;;98,9;;98,4;;100,0;;96,8;b
Slovakia;97,9;;97,7;;91,8;b;94,5;;94,8;;95,9;;93,7;;96,8;;97,3;;98,4;b
Finland;94,0;;96,3;;93,0;b;93,0;;94,1;;96,0;;95,2;;95,4;;92,8;;96,5;b
Sweden;93,7;;94,2;;95,2;b;94,2;;96,7;;92,0;;100,0;b;94,1;;94,6;;93,1;b
United Kingdom;92,3;;93,7;;92,5;b;93,9;;92,4;;93,7;;92,9;;94,1;;:;;:;
Montenegro;85,9;u;83,8;;83,1;b;86,5;;86,6;u;89,8;;81,6;;89,1;;84,0;;:;
North Macedonia;71,5;;76,5;;78,5;b;67,7;;80,4;;74,7;;75,9;;80,8;;90,3;;:;
Serbia;81,6;u;80,3;;86,5;b;87,4;;87,9;;87,7;;89,1;;92,2;;88,7;;88,8;b
Turkey;90,9;;91,0;;88,7;b;87,9;;86,6;;86,1;;87,3;;85,9;;84,8;;:;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;
bu;break in time series, low reliability;;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;
u;low reliability;;;;;;;;;;;;;;;;;;;