Data extracted on 10/06/2022 14:31:27 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;3 children or more;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);84,1;;82,9;;83,6;b;83,2;;83,5;;85,4;;85,6;;85,2;;85,1;;85,1;b
European Union - 28 countries (2013-2020);83,3;;82,8;;83,5;b;83,7;;83,8;;85,0;;85,4;;85,4;;:;;:;
European Union - 15 countries (1995-2004);84,5;;83,9;;84,4;b;84,5;;84,1;;85,1;;85,2;;85,0;;:;;:;
Euro area - 19 countries  (from 2015);85,1;;83,7;;83,9;b;83,4;;83,1;;85,2;;85,0;;84,6;;84,2;;85,2;b
Belgium;82,3;;79,2;;79,2;b;78,2;;76,5;;81,1;b;78,9;;81,2;;80,4;;82,6;b
Bulgaria;:;u;67,4;u;79,4;bu;68,4;u;80,1;u;81,2;u;91,2;;75,5;u;82,5;u;81,1;bu
Czechia;86,8;;89,5;;88,2;b;92,0;;94,6;;89,8;;93,4;;93,6;;94,4;;94,1;b
Denmark;94,4;;89,1;;95,6;b;96,4;;91,4;b;94,3;b;94,0;;94,0;;96,7;;93,3;b
Germany (until 1990 former territory of the FRG);89,0;b;90,0;;89,5;b;88,6;;87,6;;87,5;;87,6;;88,7;;88,1;b;90,1;b
Estonia;85,4;;83,0;;80,7;b;78,3;;89,9;;90,8;;86,8;;88,0;;87,9;;85,3;b
Ireland;72,2;;77,0;;78,2;b;78,8;;83,6;;83,6;b;83,7;;85,3;;82,9;;85,3;b
Greece;82,1;;84,2;;82,8;b;79,6;;85,2;;82,2;;83,1;;85,7;;85,3;;90,2;b
Spain;64,8;;64,9;;66,2;b;66,6;;78,9;;78,7;;76,0;;81,1;;73,7;;72,9;bd
France;85,1;;80,9;b;81,5;b;81,3;;78,4;;82,9;;82,2;;78,6;;80,7;;82,4;bd
Croatia;71,1;;69,3;;77,5;b;74,0;;77,3;;84,1;;83,5;;84,7;;84,2;;84,6;b
Italy;89,0;;86,3;;86,4;b;86,3;;86,7;;87,1;;87,3;;89,1;;86,7;;84,7;b
Cyprus;86,4;;85,2;;79,2;b;85,0;;86,3;;80,5;;83,2;;88,5;;89,5;;87,7;b
Latvia;70,0;;80,9;;84,7;b;86,1;;83,8;;88,2;;92,7;;96,0;;73,8;;85,1;b
Lithuania;72,8;;72,9;;75,5;b;75,5;;78,2;;73,5;;76,9;;80,8;;78,3;;74,2;b
Luxembourg;85,6;;81,0;;81,7;b;93,9;b;78,4;;86,6;;86,1;;73,9;;83,7;;74,4;b
Hungary;77,0;;80,3;;84,1;b;81,8;;85,5;;87,0;;86,5;;87,7;;85,0;;90,5;b
Malta;94,2;;95,7;u;87,5;bu;81,4;;85,4;;88,7;;90,7;;94,8;;95,4;;95,8;b
Netherlands;93,3;;89,5;b;91,6;b;91,4;;91,9;;91,5;;92,5;;92,9;b;96,6;;94,1;b
Austria;88,3;;90,3;;88,2;b;84,0;;82,2;;87,7;;89,3;;87,9;;85,9;;84,3;b
Poland;82,0;;81,1;;81,7;b;81,8;;83,0;;84,2;;85,8;;87,1;;88,7;;83,5;b
Portugal;89,7;;87,7;;86,5;b;89,3;;78,9;;92,2;;89,9;;82,8;;85,5;;89,2;b
Romania;80,4;;78,0;;76,2;b;80,2;;78,8;;83,7;;82,0;;80,6;;78,5;;73,9;b
Slovenia;88,6;;89,0;;90,3;b;85,3;;83,5;;87,3;;88,5;;89,0;;91,7;;88,2;b
Slovakia;79,7;;73,8;;76,3;b;80,6;;81,5;;84,9;;88,7;;88,4;;87,2;;81,5;b
Finland;91,1;;86,7;;90,3;b;88,4;;87,7;;90,7;;88,6;;89,9;;86,7;;85,6;b
Sweden;94,7;;93,0;;94,8;b;93,6;;95,1;;95,8;;99,3;b;87,8;;97,7;;97,1;b
United Kingdom;79,0;;82,0;;82,9;b;86,4;;85,4;;82,9;;84,2;;86,5;;:;;:;
Montenegro;63,1;;61,0;;64,8;b;67,9;;72,2;;71,0;;69,7;;73,6;;69,8;;:;
North Macedonia;52,9;;62,1;;59,9;b;62,1;;63,7;;64,8;;74,6;;73,3;;72,0;;:;
Serbia;69,5;;68,6;;71,9;b;71,1;;72,4;;72,4;;72,4;;73,5;;77,7;;79,9;b
Turkey;78,7;;81,2;;76,4;b;79,3;;79,4;;81,4;;80,8;;77,0;;75,1;;:;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;
bu;break in time series, low reliability;;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;
u;low reliability;;;;;;;;;;;;;;;;;;;