Data extracted on 10/06/2022 14:31:21 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;2 children;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);86,8;;85,7;;86,2;b;86,9;;87,8;;88,2;;88,7;;89,2;;88,3;;87,3;b
European Union - 28 countries (2013-2020);87,0;;85,9;;86,5;b;87,2;;87,9;;88,4;;88,9;;89,5;;:;;:;
European Union - 15 countries (1995-2004);88,2;;87,1;;87,4;b;87,7;;88,4;;88,8;;89,1;;89,8;;:;;:;
Euro area - 19 countries  (from 2015);87,7;;86,6;;86,7;b;86,9;;88,1;;88,2;;88,6;;89,0;;88,1;;87,2;b
Belgium;83,4;;85,8;;85,0;b;84,3;;85,6;;86,3;b;85,5;;87,0;;84,2;;83,0;b
Bulgaria;81,4;;81,7;;82,4;b;83,8;;84,2;;87,5;;88,4;;88,8;;85,1;;84,8;b
Czechia;94,9;;91,6;;93,6;b;93,4;;94,9;;95,9;;94,5;;95,4;;95,1;;94,7;b
Denmark;90,0;;90,1;;92,2;b;94,0;;93,1;b;94,0;b;94,4;;92,7;;92,4;;94,6;b
Germany (until 1990 former territory of the FRG);92,3;b;92,3;;92,6;b;92,4;;92,9;;93,4;;93,2;;92,9;;92,9;b;92,7;b
Estonia;86,8;;89,0;;87,0;b;89,8;;91,4;;88,5;;92,3;;90,3;;93,2;;91,0;b
Ireland;71,6;;75,1;;78,4;b;79,4;;83,8;;83,4;b;83,2;;84,5;;84,0;;81,0;b
Greece;79,6;;79,0;;79,6;b;80,7;;82,9;;84,8;;85,0;;86,9;;87,9;;76,2;b
Spain;76,9;;74,6;;77,5;b;77,2;;80,8;;83,4;;83,8;;85,5;;80,6;;82,8;bd
France;88,1;;84,8;b;83,8;b;85,1;;86,3;;83,4;;85,4;;85,5;;85,1;;83,4;bd
Croatia;71,4;;70,4;;76,1;b;76,1;;80,0;;79,2;;82,5;;83,9;;86,0;;87,3;b
Italy;88,4;;88,0;;87,8;b;87,5;;88,4;;89,1;;88,7;;89,7;;88,1;;87,7;b
Cyprus;85,2;;79,7;;78,4;b;77,4;;85,1;;82,4;;89,2;;90,4;;88,5;;92,6;b
Latvia;76,9;;80,9;;81,1;b;82,7;;83,4;;86,2;;85,0;;79,3;;86,4;;82,3;b
Lithuania;76,7;;79,8;;79,7;b;78,8;;78,8;;82,4;;82,5;;84,5;;81,6;;87,1;b
Luxembourg;92,0;;87,8;;81,2;b;86,2;b;87,7;;88,4;;88,6;;87,4;;86,1;;84,3;b
Hungary;81,1;;83,0;;86,2;b;88,7;;89,0;;89,0;;90,1;;90,8;;90,2;;90,9;b
Malta;90,5;;89,7;;85,7;b;89,5;;90,6;;93,9;;94,1;;95,0;;90,8;;90,1;b
Netherlands;94,4;;90,8;b;91,7;b;92,6;;92,5;;93,2;;94,0;;93,7;b;93,8;;95,6;b
Austria;90,4;;91,8;;90,5;b;90,1;;88,9;;91,0;;89,3;;90,5;;89,9;;88,4;b
Poland;83,9;;83,2;;83,7;b;85,7;;86,8;;87,1;;87,5;;88,6;;88,4;;86,9;b
Portugal;86,2;;82,3;;86,0;b;85,0;;88,3;;89,7;;89,3;;89,8;;88,6;;90,8;b
Romania;84,1;;80,0;;81,6;b;83,4;;81,5;;84,1;;86,4;;85,1;;84,3;;80,2;b
Slovenia;88,7;;86,7;;88,0;b;89,3;;90,5;;91,9;;92,9;;92,7;;91,2;;86,8;b
Slovakia;85,7;;85,3;;85,9;b;88,3;;87,1;;87,5;;89,9;;89,3;;88,1;;86,2;b
Finland;88,3;;90,9;;88,7;b;86,6;;89,0;;91,0;;91,1;;91,9;;91,4;;87,8;b
Sweden;93,7;;94,7;;93,8;b;96,4;;92,1;;95,9;;97,5;b;96,6;;95,6;;91,8;b
United Kingdom;88,5;;87,1;;88,8;b;89,2;;88,6;;89,6;;89,9;;91,7;;:;;:;
Montenegro;67,5;;66,9;;69,7;b;70,8;;68,8;;73,0;;74,7;;75,3;;68,8;;:;
North Macedonia;67,5;;70,8;;73,5;b;72,9;;74,4;;71,3;;74,3;;75,1;;72,8;;:;
Serbia;68,5;;71,2;;72,8;b;74,3;;75,9;;77,4;;78,9;;79,9;;80,9;;80,6;b
Turkey;85,1;;85,4;;84,3;b;85,1;;83,6;;84,1;;84,8;;82,0;;78,5;;:;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;