;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;Ageing Europe;;;;;;;;;;;;;;;;;;;;;;
;;Working and moving into retirement;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;Table 1: Statutory pension ages and average ages up to which people want to work, by sex, February-September 2015 and 2020;;;;;;;;;;;;;;;;;;;;;;
;;(years);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;"Until what age do you 
want to work
(as of February-September 2015)?";;"Until what age do you think you will be able 
to do your current job or a similar one
(as of February-September 2015)?";;"Statutory pension age
(as of 2020)";;;;;;;;;;;;;;;;;
;;;Men;Women;Men;Women;Men;Women;;;;;;;;;;;;;;;;
;;Belgium;60,6 ;59,9 ;64,2 ;63,2 ;65 years ;65 years ;;;;;;;;;;;;;;;;
;;Bulgaria;59,9 ;58,2 ;63,9 ;62,0 ;66 years 6 months ;66 years 6 months ;;;;;;;;;;;;;;;;
;;Czechia;61,3 ;59,7 ;64,0 ;62,9 ;63 years 8 months ;63 years 8 months ;;;;;;;;;;;;;;;;
;;Denmark;64,3 ;63,7 ;67,6 ;66,4 ;66 years ;66 years ;;;;;;;;;;;;;;;;
;;Germany;62,4 ;61,5 ;64,6 ;63,7 ;65 years 8 months ;65 years 8 months ;;;;;;;;;;;;;;;;
;;Estonia;62,4 ;62,0 ;64,1 ;63,3 ;63 years 6 months ;63 years 6 months ;;;;;;;;;;;;;;;;
;;Ireland;62,2 ;60,2 ;65,5 ;64,4 ;66 years ;66 years ;;;;;;;;;;;;;;;;
;;Greece;60,1 ;58,0 ;62,0 ;61,0 ;67 years ;67 years ;;;;;;;;;;;;;;;;
;;Spain;60,9 ;60,3 ;63,8 ;63,2 ;65 years 10 months ;65 years 10 months ;;;;;;;;;;;;;;;;
;;France;60,3 ;60,0 ;63,4 ;62,2 ;66 years 7 months ;66 years 7 months ;;;;;;;;;;;;;;;;
;;Croatia;60,9 ;58,8 ;64,5 ;63,0 ;65 years ;62 years 6 months ;;;;;;;;;;;;;;;;
;;Italy;61,0 ;59,4 ;64,8 ;63,9 ;67 years ;67 years ;;;;;;;;;;;;;;;;
;;Cyprus;57,6 ;56,9 ;63,8 ;62,6 ;65 years ;65 years ;;;;;;;;;;;;;;;;
;;Latvia;60,4 ;58,5 ;66,3 ;65,5 ;63 years 9 months ;63 years 9 months ;;;;;;;;;;;;;;;;
;;Lithuania;61,0 ;59,5 ;63,1 ;62,8 ;64 years ;63 years ;;;;;;;;;;;;;;;;
;;Luxembourg;59,2 ;58,6 ;63,4 ;61,8 ;65 years ;65 years ;;;;;;;;;;;;;;;;
;;Hungary;60,1 ;58,3 ;62,1 ;61,0 ;64 years 6 months ;64 years 6 months ;;;;;;;;;;;;;;;;
;;Malta;59,1 ;56,2 ;62,6 ;61,7 ;63 years ;63 years ;;;;;;;;;;;;;;;;
;;Netherlands;61,6 ;62,3 ;67,7 ;66,6 ;66 years 4 months ;66 years 4 months ;;;;;;;;;;;;;;;;
;;Austria;59,9 ;57,5 ;63,7 ;61,8 ;65 years ;60 years ;;;;;;;;;;;;;;;;
;;Poland;58,6 ;57,3 ;63,2 ;62,4 ;65 years ;60 years ;;;;;;;;;;;;;;;;
;;Portugal;62,8 ;62,2 ;65,8 ;64,4 ;66 years 5 months ;66 years 5 months ;;;;;;;;;;;;;;;;
;;Romania;59,2 ;58,6 ;63,2 ;62,0 ;65 years ;61 years 3-5 months ;;;;;;;;;;;;;;;;
;;Slovenia;58,2 ;56,6 ;63,6 ;62,4 ;65 years ;65 years ;;;;;;;;;;;;;;;;
;;Slovakia;60,4 ;59,1 ;62,6 ;61,5 ;62 years 6-8 months ;62 years 6-8 months ;;;;;;;;;;;;;;;;
;;Finland;62,2 ;62,3 ;65,3 ;64,1 ;65 years ;65 years ;;;;;;;;;;;;;;;;
;;Sweden;63,3 ;62,8 ;68,0 ;67,1 ;65 years ;65 years ;;;;;;;;;;;;;;;;
;;United Kingdom;61,3 ;60,7 ;65,6 ;64,6 ;65 years 7-12 months ;65 years 7-12 months ;;;;;;;;;;;;;;;;
;;Iceland;: ;: ;: ;: ;67 years ;67 years ;;;;;;;;;;;;;;;;
;;Norway;65,4 ;64,1 ;67,1 ;66,0 ;67 years ;67 years ;;;;;;;;;;;;;;;;
;;Switzerland;: ;: ;: ;: ;65 years ;64 years ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;Note: definitions of the statutory pension age vary across EU Member States. The figures presented refer to the national statutory pension age (the age at which people are entitled to an old-age pension). When the pension age is defined as a range, the top limit is presented.;;;;;;;;;;;;;;;;;;;;;;
;;Source: Extending working life: what do workers want?, Eurofound, 2017 and the Finnish Centre for Pensions (https://www.etk.fi/en/);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Bookmarks:;;;;;;;;;;;;;;;;;;;;;;;;
https://www.eurofound.europa.eu/data/european-working-conditions-survey;;;;;;;;;;;;;;;;;;;;;;;;
https://www.etk.fi/en/the-pension-system/international-comparison/retirement-ages/;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;